economy,Inflacion_A,IDH,PIB_perca,GPEDU_PIB,Suicidio_rate,Salario empleados,Desempleo_total,Esperanza_vida,POB_+65,Homicidios_inte
KOR,1.94433230786365,0.845,31616.8434004683,4.32823991775513,25.8,74.6900024414063,3.65000009536743,82.6268292682927,13.8522477555421,0.589082504586232
LBN,4.32135218303198,0.538,7776.03464216395,2.13294005393982,3.0,63.6399993896484,10.2740001678467,78.833,6.74623605425308,3.60736976845232
MAR,0.754663249323633,0.5,3035.45434570313,5.11831569671631,7.1,49.6800003051758,9.24199962615967,76.218,6.7533480761148,2.13876648596198
MEX,6.04145724018992,0.607,9287.84958732302,4.51821994781494,5.9,68.5500030517578,3.42000007629395,74.947,7.04077048486791,25.7089978030143
MYS,3.8712011577424,0.622,10259.3048064811,4.6753101348877,5.4,73.9800033569336,3.41000008583069,75.828,6.4339520211868,10.01661297089381
NLD,1.3814587140721,0.8,48675.2223350213,5.17509984970093,12.1,83.2699966430664,4.84000015258789,81.7609756097561,18.7921320210439,0.775496974592428
PAK,4.08537368032604,0.389,1631.53190936041,2.89951992034912,9.1,40.7799987792969,3.91599988937378,66.947,4.31383605287132,3.96092064782481
PER,2.99490045809446,0.586,6710.50760214164,3.93130993843079,2.7,44.9900016784668,3.69000005722046,76.286,7.81080245454995,7.90922386280578
PNG,5.42204568023833,0.384,2695.24900855956,1.96493005752563,2.8,24.7099990844727,2.50699996948242,64.01,3.37922236880715,20.043785801499155
POL,2.07593553673862,0.747,13864.6817579973,4.5584602355957,13.3,79.5899963378906,4.8899998664856,77.7536585365854,16.9312953486375,0.756194949271176
QAT,0.394878914082996,0.615,59124.8672675489,2.96745991706848,5.8,99.5800018310547,0.140000000596046,79.981,1.23212298622101,0.440411094395879
RUS,3.68332944412231,0.729,10720.3330078125,4.68990993499756,28.2,93.3899993896484,5.21000003814697,72.4514634146342,14.2633149894054,9.13419342258227
SDN,32.3516260968437,0.379,3178.31420898438,4.04098333769495,3.8,45.7299995422363,17.5330009460449,64.881,3.53520683416771,26.00073367910837
SGP,0.576260310166371,0.884,61150.7271966595,2.76826000213623,9.0,85.3499984741211,4.19999980926514,83.0951219512195,10.5798994786478,0.192710565199065
SLV,1.01235403315573,0.501,3910.25440332717,3.7252299785614,6.1,59.7599983215332,4.3899998664856,72.872,8.10470864225283,62.0213383459682
SRB,3.13106248590119,0.755,6292.54362926707,3.71016001701355,0.6,69.4300003051758,13.4799995422363,75.5390243902439,17.8947516248703,1.06459811477795
SYR,7.160497784615238,0.4699759366743843,955.836559044092,4.025083109629156,1.8,59.1399993896484,8.7519998550415,70.967,4.31835461571047,17.332435318736906
THA,0.66563189313507,0.604,6593.81835157138,3.3557300567627,8.4,49.4000015258789,0.829999983310699,76.683,11.4369639217331,6.008718140466343
TUN,5.30884839565841,0.508,3687.78031640101,4.192098910219782,3.1,74.3899993896484,15.3299999237061,76.31,8.05233384204566,14.634359575768059
TUR,11.1443110840764,0.626,10589.667724687,4.2396820460387525,2.3,67.2699966430664,10.8199996948242,77.161,8.25571138776413,3.13253349804468
TZA,5.31871605228923,0.4,1004.90661621094,4.4305100440979,4.2,14.9099998474121,2.17700004577637,64.479,2.58366125391209,19.763627922685593
UKR,14.4383227488749,0.647,2638.326171875,5.41707992553711,20.6,84.2900009155273,9.5,71.7809756097561,16.1552261547116,6.18373057115013
URY,6.21809382561863,0.6,18690.8938401411,4.47097015380859,20.8,71.9599990844727,7.8899998664856,77.632,14.7002261801567,8.23477548597542
USA,2.13011000365963,0.762,59914.777796976,5.10922002792358,15.9,93.75,4.3600001335144,78.5390243902439,15.4193658960742,5.31984338681299
YEM,11.566852500017255,0.369,964.340343636774,4.048973637865294,5.6,46.0499992370605,13.2969999313354,66.086,2.85163700902815,23.335592076917898
ZAF,5.18424664766131,0.406,6690.93984735096,5.59867000579834,25.2,84.5299987792969,27.0400009155273,63.538,5.21917862619865,35.6710907227081
